0.00	49.37	336.70	539.39
0.00	25.33	343.22	562.66
0.00	58.49	345.51	546.81
11.85	42.83	328.29	572.43
2.90	24.58	326.69	568.38
0.00	60.52	340.71	506.34
0.00	37.33	334.30	553.94
0.00	54.89	351.08	511.68
0.00	46.68	341.50	563.07
0.00	49.78	335.12	561.73
0.00	73.15	360.00	463.65
0.00	105.01	325.52	461.65
14.52	152.13	345.48	355.17
0.00	173.59	343.08	354.16
8.92	152.07	340.94	351.83
1.09	191.94	355.45	321.40
2.09	185.82	352.61	333.34
7.83	211.19	352.17	320.28
1.48	211.33	348.67	306.40
9.66	162.27	350.34	365.59
0.00	155.52	343.97	370.86
24.94	176.73	335.06	318.21
3.01	183.16	352.10	338.62
0.00	209.75	359.01	314.69
4.91	216.60	347.12	307.16
5.79	273.18	345.89	258.47
18.08	219.24	334.88	305.29
19.13	216.09	340.87	312.55
38.60	236.16	320.01	301.96
0.00	194.19	326.11	329.79
0.00	187.70	345.33	338.12
0.00	176.25	346.05	343.28
8.79	196.39	351.21	330.25
5.90	187.78	354.10	324.70
9.68	172.14	350.32	337.03
16.22	175.24	339.33	327.23
17.68	172.99	335.95	336.45
23.91	199.15	335.49	300.85
43.41	175.54	316.59	338.70
68.68	158.00	287.71	338.56
17.68	157.49	317.31	350.54
0.00	194.18	340.35	330.55
4.24	198.27	351.36	329.71
10.33	173.03	349.67	336.23
25.13	205.09	330.98	314.48
58.96	209.58	299.57	276.76
118.69	229.34	236.00	250.03
92.26	223.51	245.23	270.00
89.27	213.05	262.97	250.50
91.90	200.47	259.48	263.22
24.42	206.51	331.47	262.95
120.58	198.57	238.45	275.14
35.91	209.01	318.23	259.46
69.53	197.70	290.47	279.83
69.42	212.75	280.66	252.70
102.16	211.48	254.68	266.91
113.92	259.60	246.08	232.96
51.66	248.77	302.75	226.77
64.34	248.39	293.92	247.04
84.98	247.63	259.66	250.27
100.60	259.74	257.99	224.86
98.96	259.63	250.08	216.78
52.17	284.77	299.33	214.59
37.79	291.92	321.25	224.50
57.19	283.93	301.67	231.75
42.36	273.50	317.08	242.39
66.31	292.53	287.36	241.25
62.25	299.90	284.54	216.19
83.97	279.05	272.85	216.29
90.08	306.39	267.64	220.73
76.29	309.03	271.50	210.57
